"","Type","SumCounts","Floss"
"ENSACAT00000009120.2","mRNA",1594,0.09316644
"ENSACAT00000009223.2","mRNA",0,0.50000021
"ENSACAT00000030075.1","mRNA",119,0.21110206
"ENSACAT00000009562.2","mRNA",430,0.081670105
"ENSACAT00000009795.2","mRNA",133,0.15417479
"ENSACAT00000009864.3","mRNA",103,0.19457066
"ENSACAT00000010155.3","mRNA",411,0.11004804
"ENSACAT00000014675.3","mRNA",0,0.50000021
"ENSACAT00000014781.3","mRNA",310,0.18307534
"ENSACAT00000012797.2","mRNA",115,0.11807976
"ENSACAT00000012859.3","mRNA",209,0.075303065
"ENSACAT00000013466.3","mRNA",728,0.13456674
"ENSACAT00000017447.3","mRNA",171,0.06775991
"ENSACAT00000017382.3","mRNA",214,0.135343285
"ENSACAT00000017332.3","mRNA",428,0.07110969
"ENSACAT00000017295.3","mRNA",405,0.085902075
"ENSACAT00000017177.3","mRNA",677,0.07416065
"ENSACAT00000017137.3","mRNA",1,0.70081021
"ENSACAT00000017068.3","mRNA",618,0.028027775
"ENSACAT00000016969.3","mRNA",456,0.15772084
"ENSACAT00000016754.3","mRNA",1354,0.05443084
"ENSACAT00000016382.2","mRNA",0,0.50000021
"ENSACAT00000016366.3","mRNA",950,0.18582539
"ENSACAT00000015918.2","mRNA",533,0.102787625
"ENSACAT00000001400.3","mRNA",10,0.17439621
"ENSACAT00000001305.3","mRNA",46,0.14776131
"ENSACAT00000016081.3","mRNA",7,0.55795321
"ENSACAT00000000441.3","mRNA",88,0.27545446
"ENSACAT00000001149.3","mRNA",336,0.12752649
"ENSACAT00000029126.1","mRNA",148,0.12609499
"ENSACAT00000000578.3","mRNA",91,0.13344386
"ENSACAT00000000575.3","mRNA",1,0.81173521
"ENSACAT00000015860.3","mRNA",13,0.18162471
"ENSACAT00000015626.3","mRNA",104,0.19645829
"ENSACAT00000012609.3","mRNA",0,0.50000021
"ENSACAT00000012841.3","mRNA",83,0.17571486
"ENSACAT00000012954.2","mRNA",0,0.50000021
"ENSACAT00000014120.3","mRNA",3,0.60161881
"ENSACAT00000014082.3","mRNA",389,0.054768865
"ENSACAT00000004873.3","mRNA",285,0.12209464
"ENSACAT00000016606.3","mRNA",421,0.077040215
"ENSACAT00000016529.3","mRNA",0,0.50000021
"ENSACAT00000016445.3","mRNA",62,0.26569864
"ENSACAT00000016335.3","mRNA",1449,0.08027744
"ENSACAT00000022687.2","mRNA",50,0.27254381
"ENSACAT00000016146.3","mRNA",380,0.13279649
"ENSACAT00000015974.3","mRNA",752,0.02516324
"ENSACAT00000015870.3","mRNA",100,0.10367501
"ENSACAT00000015836.2","mRNA",452,0.06985284
"ENSACAT00000015527.3","mRNA",16,0.38608621
"ENSACAT00000015203.3","mRNA",9,0.57343421
"ENSACAT00000014863.2","mRNA",1,0.81173521
"ENSACAT00000014440.3","mRNA",60,0.17557089
"ENSACAT00000028049.2","mRNA",43,0.25061359
"ENSACAT00000014314.3","mRNA",20,0.13547121
"ENSACAT00000014121.3","mRNA",427,0.06308131
"ENSACAT00000013988.2","mRNA",6,0.59518421
"ENSACAT00000003666.2","mRNA",431,0.20637149
"ENSACAT00000004529.3","mRNA",75,0.08805111
"ENSACAT00000004080.3","mRNA",184,0.14739304
"ENSACAT00000003548.2","mRNA",44,0.22306291
"ENSACAT00000003285.3","mRNA",986,0.121076915
"ENSACAT00000003193.3","mRNA",55,0.08275986
"ENSACAT00000002982.3","mRNA",34,0.14417781
"ENSACAT00000002722.3","mRNA",44,0.20543711
"ENSACAT00000002378.3","mRNA",38,0.28452211
"ENSACAT00000029575.1","mRNA",179,0.17000324
"ENSACAT00000000807.3","mRNA",285,0.14763309
"ENSACAT00000014349.2","mRNA",196,0.14582599
"ENSACAT00000014363.3","mRNA",10,0.51173521
"ENSACAT00000014503.3","mRNA",33,0.34484609
"ENSACAT00000014820.3","mRNA",34,0.09276451
"ENSACAT00000014986.3","mRNA",30,0.16194016
"ENSACAT00000015702.3","mRNA",219,0.07041894
"ENSACAT00000005159.3","mRNA",61,0.11181149
"ENSACAT00000005160.3","mRNA",186,0.08974874
"ENSACAT00000005166.3","mRNA",9,0.22008429
"ENSACAT00000030302.1","mRNA",138,0.15812304
"ENSACAT00000004506.3","mRNA",10,0.27439481
"ENSACAT00000016129.3","mRNA",7,0.49180371
"ENSACAT00000016071.3","mRNA",224,0.181855025
"ENSACAT00000029152.1","mRNA",127,0.10014841
"ENSACAT00000015331.3","mRNA",189,0.11135509
"ENSACAT00000015146.3","mRNA",36,0.19641481
"ENSACAT00000001989.3","mRNA",272,0.18883879
"ENSACAT00000002180.3","mRNA",403,0.211239115
"ENSACAT00000002614.3","mRNA",75,0.15653069
"ENSACAT00000002697.3","mRNA",46,0.09441034
"ENSACAT00000008768.3","mRNA",31,0.25535191
"ENSACAT00000008979.3","mRNA",25,0.23498241
"ENSACAT00000009504.3","mRNA",590,0.07133378
"ENSACAT00000009970.3","mRNA",541,0.062514665
"ENSACAT00000012693.3","mRNA",101,0.17758081
"ENSACAT00000024117.2","mRNA",1,0.70081021
"ENSACAT00000000043.3","mRNA",258,0.06831154
"ENSACAT00000000046.3","mRNA",713,0.113000675
"ENSACAT00000000048.3","mRNA",1,0.76185121
"ENSACAT00000000055.3","mRNA",0,0.50000021
"ENSACAT00000000060.3","mRNA",56,0.19003809
"ENSACAT00000026448.2","mRNA",530,0.06565822
"ENSACAT00000000068.3","mRNA",51,0.03869279
"ENSACAT00000000074.3","mRNA",2135,0.09929404
"ENSACAT00000027773.2","mRNA",16,0.36048241
"ENSACAT00000024663.1","mRNA",0,0.50000021
"ENSACAT00000009680.3","mRNA",50,0.22567501
"ENSACAT00000009599.3","mRNA",97,0.21092034
"ENSACAT00000009438.3","mRNA",107,0.199788215
"ENSACAT00000009328.3","mRNA",7,0.31980421
"ENSACAT00000030872.1","mRNA",26,0.26063366
"ENSACAT00000009325.3","mRNA",26,0.26063366
"ENSACAT00000009267.3","mRNA",116,0.14753841
"ENSACAT00000009706.3","mRNA",65,0.09952256
"ENSACAT00000009641.3","mRNA",3,0.51254521
"ENSACAT00000009563.3","mRNA",5,0.27439621
"ENSACAT00000015757.3","mRNA",1334,0.10083754
"ENSACAT00000015604.3","mRNA",75,0.16986369
"ENSACAT00000015553.3","mRNA",9,0.37921031
"ENSACAT00000015435.3","mRNA",616,0.04197777
"ENSACAT00000015019.3","mRNA",80,0.15278399
"ENSACAT00000014967.3","mRNA",80,0.22714479
"ENSACAT00000014899.3","mRNA",719,0.07462223
"ENSACAT00000014408.3","mRNA",957,0.04602464
"ENSACAT00000014259.2","mRNA",360,0.09380437
"ENSACAT00000014190.3","mRNA",682,0.145945785
"ENSACAT00000013767.3","mRNA",163,0.06115039
"ENSACAT00000013667.3","mRNA",32,0.30685519
"ENSACAT00000027428.2","mRNA",27,0.34217321
"ENSACAT00000013440.2","mRNA",16,0.36036501
"ENSACAT00000017542.3","mRNA",31,0.30537734
"ENSACAT00000017585.3","mRNA",77,0.15601069
"ENSACAT00000009749.2","mRNA",118,0.21093207
"ENSACAT00000028774.2","mRNA",6,0.29599421
"ENSACAT00000010133.3","mRNA",6,0.29599421
"ENSACAT00000029853.1","mRNA",111,0.10579039
"ENSACAT00000030194.1","mRNA",1890,0.06475219
"ENSACAT00000010735.3","mRNA",1876,0.04526939
"ENSACAT00000011018.2","mRNA",9,0.51254521
"ENSACAT00000002747.3","mRNA",62,0.14690269
"ENSACAT00000002507.3","mRNA",24,0.17087696
"ENSACAT00000001721.3","mRNA",32,0.27063141
"ENSACAT00000005129.2","mRNA",69,0.13040241
"ENSACAT00000005030.2","mRNA",67,0.13759281
"ENSACAT00000004969.2","mRNA",7,0.48634191
"ENSACAT00000004726.3","mRNA",1680,0.03944244
"ENSACAT00000004402.3","mRNA",3,0.70081021
"ENSACAT00000004224.3","mRNA",225,0.11856569
"ENSACAT00000021188.2","mRNA",98,0.14801989
"ENSACAT00000030735.1","mRNA",0,0.50000021
"ENSACAT00000003870.2","mRNA",34,0.18465941
"ENSACAT00000005172.3","mRNA",4,0.38466121
"ENSACAT00000002018.3","mRNA",51,0.20227661
"ENSACAT00000001615.3","mRNA",79,0.10523151
"ENSACAT00000029852.1","mRNA",29,0.18638541
"ENSACAT00000010477.2","mRNA",1116,0.08721345
"ENSACAT00000010010.3","mRNA",9,0.21821531
"ENSACAT00000030210.1","mRNA",0,0.50000021
"ENSACAT00000023188.2","mRNA",115,0.11275061
"ENSACAT00000024784.1","mRNA",0,0.50000021
"ENSACAT00000007649.3","mRNA",356,0.076953565
"ENSACAT00000007965.3","mRNA",496,0.14641243
"ENSACAT00000008053.3","mRNA",103,0.23381401
"ENSACAT00000009034.3","mRNA",53,0.17479041
"ENSACAT00000009339.3","mRNA",363,0.08757134
"ENSACAT00000026649.2","mRNA",100,0.11501759
"ENSACAT00000027984.2","mRNA",695,0.071551435
"ENSACAT00000009531.3","mRNA",728,0.052725395
"ENSACAT00000014208.2","mRNA",1,0.76185121
"ENSACAT00000023342.2","mRNA",69,0.15628391
"ENSACAT00000013542.3","mRNA",138,0.17788227
"ENSACAT00000026017.2","mRNA",166,0.14328254
"ENSACAT00000002536.3","mRNA",31,0.17665146
"ENSACAT00000001862.3","mRNA",24,0.20057411
"ENSACAT00000001494.2","mRNA",1,0.76185121
"ENSACAT00000028188.2","mRNA",3,0.57362021
"ENSACAT00000028777.2","mRNA",0,0.50000021
"ENSACAT00000003177.3","mRNA",4,0.32358621
"ENSACAT00000003047.3","mRNA",42,0.15678256
"ENSACAT00000015284.3","mRNA",2,0.60161881
"ENSACAT00000004910.3","mRNA",61,0.04378659
"ENSACAT00000005099.3","mRNA",56,0.19639601
"ENSACAT00000023787.2","mRNA",128,0.13170509
"ENSACAT00000011070.3","mRNA",580,0.137355885
"ENSACAT00000027148.2","mRNA",388,0.06383354
"ENSACAT00000010570.3","mRNA",117,0.036581445
"ENSACAT00000028895.2","mRNA",33,0.20013881
"ENSACAT00000009659.3","mRNA",956,0.04890712
"ENSACAT00000015554.3","mRNA",14,0.36968811
"ENSACAT00000015664.3","mRNA",685,0.094970925
"ENSACAT00000015946.3","mRNA",153,0.172463835
"ENSACAT00000015965.3","mRNA",201,0.177190415
"ENSACAT00000016061.3","mRNA",57,0.16097711
"ENSACAT00000016117.3","mRNA",22,0.22556996
"ENSACAT00000004691.2","mRNA",101,0.17914091
"ENSACAT00000017011.3","mRNA",3547,0.054790815
"ENSACAT00000009710.3","mRNA",5,0.51254521
"ENSACAT00000025587.2","mRNA",5,0.28454521
"ENSACAT00000010359.2","mRNA",45,0.21243926
"ENSACAT00000005832.3","mRNA",88,0.18063694
"ENSACAT00000005797.3","mRNA",617,0.04363627
"ENSACAT00000005707.3","mRNA",397,0.12450767
"ENSACAT00000023040.2","mRNA",0,0.50000021
"ENSACAT00000005317.3","mRNA",10,0.27362021
"ENSACAT00000005124.3","mRNA",1806,0.10285542
"ENSACAT00000004954.3","mRNA",93,0.17921154
"ENSACAT00000004816.2","mRNA",389,0.057943465
"ENSACAT00000004517.3","mRNA",225,0.14525481
"ENSACAT00000001788.3","mRNA",53,0.24159966
"ENSACAT00000029353.1","mRNA",39,0.17424804
"ENSACAT00000001999.3","mRNA",18,0.32779811
"ENSACAT00000002166.3","mRNA",36,0.18469791
"ENSACAT00000001129.3","mRNA",1971,0.09470888
"ENSACAT00000000667.3","mRNA",48,0.12479826
"ENSACAT00000000485.3","mRNA",227,0.101959965
"ENSACAT00000001032.3","mRNA",70,0.12683126
"ENSACAT00000000746.2","mRNA",547,0.037395855
"ENSACAT00000000474.2","mRNA",383,0.05950106
"ENSACAT00000015379.2","mRNA",25,0.18632499
"ENSACAT00000015716.3","mRNA",6984,0.10337714
"ENSACAT00000022458.2","mRNA",3,0.76185121
"ENSACAT00000016245.3","mRNA",2957,0.05888169
"ENSACAT00000016345.3","mRNA",4994,0.045881955
"ENSACAT00000016564.3","mRNA",198,0.19801276
"ENSACAT00000016677.3","mRNA",49,0.30251941
"ENSACAT00000016793.3","mRNA",177,0.29002789
"ENSACAT00000016875.3","mRNA",391,0.142925515
"ENSACAT00000001904.3","mRNA",4,0.27439621
"ENSACAT00000002191.2","mRNA",110,0.110065995
"ENSACAT00000002599.3","mRNA",161,0.09827551
"ENSACAT00000003102.3","mRNA",3,0.76185121
"ENSACAT00000014500.3","mRNA",374,0.06662404
"ENSACAT00000014013.3","mRNA",21,0.21402986
"ENSACAT00000013534.3","mRNA",2,0.76185121
"ENSACAT00000013190.3","mRNA",79,0.15497356
"ENSACAT00000013086.3","mRNA",1,0.76185121
"ENSACAT00000013029.3","mRNA",5,0.47442881
"ENSACAT00000013000.3","mRNA",123,0.16483482
"ENSACAT00000027659.2","mRNA",9,0.35136421
"ENSACAT00000030532.1","mRNA",3,0.27439571
"ENSACAT00000011409.3","mRNA",74,0.16622581
"ENSACAT00000001690.3","mRNA",875,0.119904875
"ENSACAT00000000292.3","mRNA",152,0.04878181
"ENSACAT00000000245.3","mRNA",267,0.08572991
"ENSACAT00000012888.3","mRNA",330,0.116045495
"ENSACAT00000000145.3","mRNA",182,0.15379744
"ENSACAT00000000147.3","mRNA",187,0.10067296
"ENSACAT00000001933.3","mRNA",106,0.16535671
"ENSACAT00000002202.3","mRNA",56,0.14418239
"ENSACAT00000002325.3","mRNA",42,0.24210249
"ENSACAT00000007044.2","mRNA",105,0.205175845
"ENSACAT00000008640.3","mRNA",1552,0.130287035
"ENSACAT00000026598.2","mRNA",0,0.50000021
"ENSACAT00000010492.3","mRNA",51,0.11992496
"ENSACAT00000010687.3","mRNA",34,0.19276036
"ENSACAT00000010704.2","mRNA",363,0.08274205
"ENSACAT00000029843.1","mRNA",454,0.04739884
"ENSACAT00000010830.3","mRNA",450,0.04523429
"ENSACAT00000005080.3","mRNA",72,0.12080579
"ENSACAT00000005168.2","mRNA",120,0.08394036
"ENSACAT00000005261.3","mRNA",18,0.21383569
"ENSACAT00000030736.1","mRNA",189,0.07602164
"ENSACAT00000005362.3","mRNA",61,0.03364796
"ENSACAT00000005416.3","mRNA",0,0.50000021
"ENSACAT00000030319.1","mRNA",0,0.50000021
"ENSACAT00000005528.3","mRNA",0,0.50000021
"ENSACAT00000005843.3","mRNA",180,0.18953096
"ENSACAT00000006628.3","mRNA",1395,0.102045315
"ENSACAT00000023239.1","mRNA",0,0.50000021
"ENSACAT00000006669.2","mRNA",348,0.12697799
"ENSACAT00000008306.2","mRNA",0,0.50000021
"ENSACAT00000008369.2","mRNA",49,0.09930116
"ENSACAT00000008461.3","mRNA",453,0.11369005
"ENSACAT00000010061.3","mRNA",31,0.09861661
"ENSACAT00000010332.3","mRNA",2,0.70081021
"ENSACAT00000010499.3","mRNA",619,0.06554669
"ENSACAT00000010540.2","mRNA",674,0.03525924
"ENSACAT00000010581.3","mRNA",127,0.07164704
"ENSACAT00000027950.2","mRNA",103,0.22253029
"ENSACAT00000014386.3","mRNA",168,0.08157172
"ENSACAT00000014422.3","mRNA",3939,0.03692574
"ENSACAT00000014496.3","mRNA",6,0.30132771
"ENSACAT00000014550.3","mRNA",198,0.186666405
"ENSACAT00000014827.3","mRNA",127,0.07359799
"ENSACAT00000014843.3","mRNA",585,0.15004474
"ENSACAT00000014980.3","mRNA",61,0.11077486
"ENSACAT00000015296.2","mRNA",677,0.05200385
"ENSACAT00000003596.3","mRNA",34,0.18252881
"ENSACAT00000002292.3","mRNA",193,0.249505585
"ENSACAT00000001737.3","mRNA",335,0.11470894
"ENSACAT00000001621.3","mRNA",4,0.63466121
"ENSACAT00000027392.2","mRNA",764,0.08565181
"ENSACAT00000030303.1","mRNA",4,0.46254381
"ENSACAT00000017780.3","mRNA",1134,0.13434031
"ENSACAT00000017750.3","mRNA",322,0.071788175
"ENSACAT00000014381.3","mRNA",142,0.10221254
"ENSACAT00000013816.3","mRNA",65,0.20987394
"ENSACAT00000012490.3","mRNA",424,0.19620311
"ENSACAT00000012298.3","mRNA",0,0.50000021
"ENSACAT00000005771.3","mRNA",106,0.10822827
"ENSACAT00000005794.3","mRNA",4,0.44639621
"ENSACAT00000030394.1","mRNA",48,0.16046981
"ENSACAT00000005988.3","mRNA",1023,0.1939139
"ENSACAT00000006005.3","mRNA",132,0.14707328
"ENSACAT00000006290.3","mRNA",1511,0.04324654
"ENSACAT00000010887.2","mRNA",24,0.26185121
"ENSACAT00000010991.3","mRNA",15,0.25202221
"ENSACAT00000011200.3","mRNA",194,0.09012544
"ENSACAT00000011396.3","mRNA",41,0.10067026
"ENSACAT00000015055.3","mRNA",1679,0.04770106
"ENSACAT00000004890.3","mRNA",0,0.50000021
"ENSACAT00000014449.3","mRNA",161,0.11756319
"ENSACAT00000014204.3","mRNA",370,0.08316989
"ENSACAT00000013870.3","mRNA",42,0.16251151
"ENSACAT00000003903.3","mRNA",10,0.21335381
"ENSACAT00000003938.2","mRNA",2,0.51254521
"ENSACAT00000004526.3","mRNA",695,0.169875385
"ENSACAT00000017372.3","mRNA",630,0.07060161
"ENSACAT00000017476.3","mRNA",10,0.24639621
"ENSACAT00000017487.3","mRNA",14,0.14486641
"ENSACAT00000004755.3","mRNA",443,0.116781055
"ENSACAT00000029590.1","mRNA",145,0.090861635
"ENSACAT00000004963.3","mRNA",2280,0.06896099
"ENSACAT00000004997.3","mRNA",321,0.07334558
"ENSACAT00000005054.3","mRNA",273,0.12131529
"ENSACAT00000005255.3","mRNA",171,0.05802216
"ENSACAT00000008405.3","mRNA",24,0.13953291
"ENSACAT00000008173.3","mRNA",13,0.36947266
"ENSACAT00000005269.3","mRNA",4,0.57362021
"ENSACAT00000004974.3","mRNA",710,0.11769384
"ENSACAT00000012511.3","mRNA",49,0.25468011
"ENSACAT00000012253.2","mRNA",328,0.07174012
"ENSACAT00000010723.1","mRNA",3,0.66113141
"ENSACAT00000007366.3","mRNA",0,0.50000021
"ENSACAT00000007228.3","mRNA",78,0.11770604
"ENSACAT00000007034.3","mRNA",8,0.42298241
"ENSACAT00000003283.2","mRNA",1037,0.19307564
"ENSACAT00000003312.3","mRNA",737,0.11465057
"ENSACAT00000002901.3","mRNA",8,0.58754381
"ENSACAT00000003184.3","mRNA",507,0.06219971
"ENSACAT00000004181.3","mRNA",591,0.03043631
"ENSACAT00000004437.3","mRNA",398,0.162659695
"ENSACAT00000022553.1","mRNA",78,0.12381556
"ENSACAT00000004572.2","mRNA",31,0.31555596
"ENSACAT00000004919.3","mRNA",121,0.24621358
"ENSACAT00000005109.3","mRNA",441,0.06061975
"ENSACAT00000028092.2","mRNA",20,0.30671741
"ENSACAT00000005176.3","mRNA",136,0.08667822
"ENSACAT00000005265.3","mRNA",261,0.10353486
"ENSACAT00000005469.3","mRNA",93,0.08322154
"ENSACAT00000005531.3","mRNA",0,0.50000021
"ENSACAT00000003424.3","mRNA",25,0.30298101
"ENSACAT00000003429.3","mRNA",0,0.50000021
"ENSACAT00000003581.3","mRNA",47,0.30142691
"ENSACAT00000027002.1","mRNA",5,0.55351499
"ENSACAT00000003595.2","mRNA",13,0.19221281
"ENSACAT00000003170.3","mRNA",161,0.06942684
"ENSACAT00000002924.3","mRNA",24,0.19668409
"ENSACAT00000001949.3","mRNA",460,0.08582864
"ENSACAT00000001620.3","mRNA",14,0.24429381
"ENSACAT00000000881.3","mRNA",109,0.24331086
"ENSACAT00000029974.1","mRNA",318,0.21538259
"ENSACAT00000000669.3","mRNA",318,0.21538259
"ENSACAT00000000636.3","mRNA",811,0.06050197
"ENSACAT00000002738.3","mRNA",11,0.33072661
"ENSACAT00000022250.1","mRNA",25,0.40524999
"ENSACAT00000001441.3","mRNA",85,0.08688221
"ENSACAT00000001461.3","mRNA",7,0.44249681
"ENSACAT00000001661.3","mRNA",51,0.17704709
"ENSACAT00000002234.3","mRNA",261,0.1119597
"ENSACAT00000002342.3","mRNA",0,0.50000021
"ENSACAT00000002814.3","mRNA",287,0.08462494
"ENSACAT00000003070.3","mRNA",20,0.22205641
"ENSACAT00000025255.2","mRNA",281,0.06421444
"ENSACAT00000008424.3","mRNA",1679,0.03397204
"ENSACAT00000029469.1","mRNA",1587,0.04424478
"ENSACAT00000010531.3","mRNA",380,0.17017802
"ENSACAT00000015594.3","mRNA",11,0.12548761
"ENSACAT00000015641.3","mRNA",63,0.15696831
"ENSACAT00000015646.3","mRNA",51,0.22736696
"ENSACAT00000014709.3","mRNA",850,0.115471165
"ENSACAT00000014678.2","mRNA",68,0.29501266
"ENSACAT00000009402.3","mRNA",5,0.33394001
"ENSACAT00000029638.1","mRNA",5,0.33394001
"ENSACAT00000014311.3","mRNA",124,0.14878885
"ENSACAT00000028474.1","mRNA",512,0.09311742
"ENSACAT00000009639.3","mRNA",49,0.22388526
"ENSACAT00000009608.3","mRNA",10,0.31335381
"ENSACAT00000009266.3","mRNA",125,0.10486501
"ENSACAT00000008850.3","mRNA",1119,0.056762365
"ENSACAT00000008343.3","mRNA",1300,0.04611281
"ENSACAT00000001522.3","mRNA",227,0.06533576
"ENSACAT00000001328.3","mRNA",46,0.17719099
"ENSACAT00000000976.2","mRNA",111,0.19414366
"ENSACAT00000000350.3","mRNA",364,0.034523255
